t,action,id,from,to
0,1,20-21-20,20-21,20
0,1,20-21-21,20-21,21
0,1,20-21-6,20-21,6
0,1,22-23-22,22-23,22
0,1,22-23-23,22-23,23
0,1,22-23-7,22-23,7
0,1,24-25-24,24-25,24
0,1,24-25-25,24-25,25
0,1,24-25-8,24-25,8
0,1,26-27-26,26-27,26
0,1,26-27-27,26-27,27
0,1,26-27-9,26-27,9
0,1,28-29-28,28-29,28
0,1,28-29-29,28-29,29
0,1,28-29-10,28-29,10
1,0,28-29-10,28-29,10
1,0,28-29-28,28-29,28
1,0,28-29-29,28-29,29
2,1,4-5-4,4-5,4
2,1,4-5-5,4-5,5
2,1,4-5-10,4-5,10
3,0,20-21-6,20-21,6
3,0,20-21-20,20-21,20
3,0,20-21-21,20-21,21
4,1,22-2-22,22-2,22
4,1,22-2-2,22-2,2
4,1,22-2-6,22-2,6
5,0,22-23-7,22-23,7
5,0,22-23-22,22-23,22
5,0,22-23-23,22-23,23
6,1,22-2-7,22-2,7
7,0,24-25-8,24-25,8
7,0,24-25-24,24-25,24
7,0,24-25-25,24-25,25
8,1,3-2-3,3-2,3
8,1,3-2-2,3-2,2
8,1,3-2-8,3-2,8
9,0,26-27-9,26-27,9
9,0,26-27-26,26-27,26
9,0,26-27-27,26-27,27
10,1,3-2-9,3-2,9
11,0,4-5-10,4-5,10
11,0,4-5-4,4-5,4
11,0,4-5-5,4-5,5
12,1,4-5-4,4-5,4
12,1,4-5-5,4-5,5
12,1,4-5-10,4-5,10
13,0,22-2-6,22-2,6
14,1,22-2-6,22-2,6
15,0,22-2-7,22-2,7
16,1,22-2-7,22-2,7
17,0,3-2-8,3-2,8
18,1,3-2-8,3-2,8
19,0,3-2-9,3-2,9
20,1,3-2-9,3-2,9
21,0,4-5-10,4-5,10
21,0,4-5-4,4-5,4
21,0,4-5-5,4-5,5
22,1,4-5-4,4-5,4
22,1,4-5-5,4-5,5
22,1,4-5-10,4-5,10
23,0,22-2-6,22-2,6
24,1,22-2-6,22-2,6
25,0,22-2-7,22-2,7
26,1,22-2-7,22-2,7
27,0,3-2-8,3-2,8
28,1,3-2-8,3-2,8
29,0,3-2-9,3-2,9
30,1,3-2-9,3-2,9
31,0,4-5-10,4-5,10
31,0,4-5-4,4-5,4
31,0,4-5-5,4-5,5
32,1,4-5-4,4-5,4
32,1,4-5-5,4-5,5
32,1,4-5-10,4-5,10
33,0,22-2-6,22-2,6
34,1,22-2-6,22-2,6
35,0,22-2-7,22-2,7
36,1,22-2-7,22-2,7
37,0,3-2-8,3-2,8
38,1,3-2-8,3-2,8
39,0,3-2-9,3-2,9
40,1,3-2-9,3-2,9
41,0,4-5-10,4-5,10
41,0,4-5-4,4-5,4
41,0,4-5-5,4-5,5
42,1,4-5-4,4-5,4
42,1,4-5-5,4-5,5
42,1,4-5-10,4-5,10
43,0,22-2-6,22-2,6
44,1,22-2-6,22-2,6
45,0,22-2-7,22-2,7
46,1,22-2-7,22-2,7
47,0,3-2-8,3-2,8
48,1,3-2-8,3-2,8
49,0,3-2-9,3-2,9
50,1,3-2-9,3-2,9
51,0,4-5-10,4-5,10
51,0,4-5-4,4-5,4
51,0,4-5-5,4-5,5
52,1,4-5-4,4-5,4
52,1,4-5-5,4-5,5
52,1,4-5-10,4-5,10
53,0,22-2-6,22-2,6
54,1,22-2-6,22-2,6
55,0,22-2-7,22-2,7
56,1,22-2-7,22-2,7
57,0,3-2-8,3-2,8
58,1,3-2-8,3-2,8
59,0,3-2-9,3-2,9
60,1,3-2-9,3-2,9
61,0,4-5-10,4-5,10
61,0,4-5-4,4-5,4
61,0,4-5-5,4-5,5
62,1,4-5-4,4-5,4
62,1,4-5-5,4-5,5
62,1,4-5-10,4-5,10
63,0,22-2-6,22-2,6
64,1,22-2-6,22-2,6
65,0,22-2-7,22-2,7
66,1,22-2-7,22-2,7
67,0,3-2-8,3-2,8
68,1,3-2-8,3-2,8
69,0,3-2-9,3-2,9
70,1,3-2-9,3-2,9
71,0,4-5-10,4-5,10
71,0,4-5-4,4-5,4
71,0,4-5-5,4-5,5
72,1,4-5-4,4-5,4
72,1,4-5-5,4-5,5
72,1,4-5-10,4-5,10
73,0,22-2-6,22-2,6
74,1,22-2-6,22-2,6
75,0,22-2-7,22-2,7
76,1,22-2-7,22-2,7
77,0,3-2-8,3-2,8
78,1,3-2-8,3-2,8
79,0,3-2-9,3-2,9
80,1,3-2-9,3-2,9
81,0,4-5-10,4-5,10
81,0,4-5-4,4-5,4
81,0,4-5-5,4-5,5
82,1,4-5-4,4-5,4
82,1,4-5-5,4-5,5
82,1,4-5-10,4-5,10
83,0,22-2-6,22-2,6
84,1,22-2-6,22-2,6
85,0,22-2-7,22-2,7
86,1,22-2-7,22-2,7
87,0,3-2-8,3-2,8
